Strategy,Seed,Avg_KL_Divergence,Avg_TVD,Avg_MAE,Avg_Hellinger,Avg_RMSE,Avg_Weighted_KL,Avg_Weighted_Hellinger,Avg_Weighted_TVD,Inf_LogLoss,Inf_Hellinger,Inf_KL,Inf_Accuracy,Dec_Regret,Dec_Acc,Avg_Time_Sec
Iterative Proportional Fitting,2,0.24158622226058257,0.3012044196898938,0.26141244843176353,0.22619530679794572,0.2665960326875747,0.40607040647865356,0.30467863890322816,0.3979962974918829,0.8406008541325635,0.20918125662140885,0.22204244599505626,0.57,2.151251091711226,0.626,0.000942230224609375
MCMC Optimization,2,0.5762183863314635,0.3840626634614926,0.3486642527244392,0.3218703358225748,0.3533816804215631,0.7384574874526271,0.35276046111326836,0.434753378236327,1.469561450863515,0.3861057093951571,0.7509838945593789,0.202,6.9739054061269705,0.044,18.41827392578125
Copula Optimization,2,0.11749127751937694,0.15439983252187217,0.15148368317924019,0.12479907997019167,0.15207350432548758,0.20664932747865872,0.21927568700562983,0.27161156206980586,0.7827883990470319,0.16966247702525739,0.18725749826428392,0.686,0.8979708834647282,0.792,60.11598587036133
Baseline MLE,3,0.00020266338396747604,0.005799688129716921,0.004781790945660695,0.005831830795789884,0.005223726512461555,0.000206876490172544,0.005395641430406485,0.005359536038727479,0.6348174856356166,0.005554441424256661,0.0002992769867406487,0.71,0.0,1.0,0.005689859390258789
Random Guess,3,0.4331851816949143,0.3383180732159276,0.277567895142902,0.2677441403829183,0.288964101083153,0.31333167174585363,0.2322401249388368,0.290515499154224,0.9427428885545235,0.22869030934381812,0.28607778893134583,0.5,3.1780936999969174,0.448,0.0005018711090087891
Synthetic EM,3,0.008869342439380206,0.039802885500985506,0.038275625047242405,0.03227807614670731,0.03867624582066479,0.007281078306625758,0.02754814429586374,0.033903605686621104,0.8234070596483952,0.1613747033247408,0.17419937712329256,0.576,2.12330365496991,0.538,4.179326772689819
Constraint Optimization,3,0.20634333644000835,0.2758367898094935,0.23604481855136325,0.20847575403174745,0.24122840280717442,0.2441705168849967,0.2376889924341088,0.3016435035210512,0.9023671763437581,0.2614676314398689,0.2700829435980143,0.374,3.0608802027593804,0.5,0.0034830570220947266
Iterative Proportional Fitting,3,0.24428150742243884,0.3024933085787827,0.26270133732065243,0.22711195503943626,0.26788492157646365,0.4158641019754913,0.3082690749748602,0.40288852629411465,0.8791983928688364,0.2175691336430957,0.2573125410299469,0.586,2.2445204725651973,0.626,0.0009238719940185547
MCMC Optimization,3,0.7458202894723512,0.4285256436947789,0.3568256514711908,0.3394387633486528,0.36840498205044986,0.656889292948616,0.36914256351020586,0.483255177881988,1.0012822906300904,0.2571338714431895,0.3541085189363065,0.504,3.1689497872412127,0.5,18.291777849197388
Copula Optimization,3,0.01166742829682702,0.0490395821751057,0.04490450100034812,0.043385214787332115,0.04573109129772201,0.029331074870143654,0.07854479908398869,0.08611394662572325,0.9347116610253359,0.1753786038101123,0.27942390975031556,0.528,2.4105672646661453,0.724,60.41944193840027
Baseline MLE,4,0.00011650882301695633,0.00593321902171358,0.005275915624733778,0.004936231702861997,0.005430695785734897,7.223679946696727e-05,0.0034619579197516506,0.004049610422080018,0.6132922322015443,0.005410545638111141,0.00021526528023178116,0.72,0.011605735420702007,0.934,0.005806922912597656
Random Guess,4,0.4869078758090481,0.31334591336925766,0.2850791614250585,0.2549872351406263,0.2947342497935867,0.39590583715277416,0.25605188990543337,0.3121407886703036,0.8532476170361284,0.18529401517964073,0.2243770245595113,0.612,1.4210102614281936,0.86,0.0005431175231933594
Synthetic EM,4,0.008132811285512034,0.036112673828878276,0.034752080041801844,0.0294097854343482,0.03496019605028161,0.006358998971757761,0.022281100532278615,0.0278335910426924,0.7725991231329618,0.1455508905331354,0.15541800570678563,0.616,1.900685064529797,0.56,0.19382500648498535
Constraint Optimization,4,0.3423552541905773,0.3542454563358394,0.31445348507770915,0.26876534536286806,0.3196370693335204,0.40637743423978795,0.2864005593246188,0.36605552241431394,1.02606846646677,0.31416836831796446,0.40806971174984663,0.4,5.339437213341247,0.272,0.04294013977050781
Iterative Proportional Fitting,4,0.23968501820803048,0.300315530801005,0.26052355954287465,0.22556839428446843,0.2657071437986858,0.40281408115409334,0.3041019234718064,0.3970323700350731,0.8599798868982289,0.2190304196732407,0.25140274297456916,0.574,2.3907610106413,0.614,0.0009591579437255859
MCMC Optimization,4,0.25375757599077514,0.24692412330974597,0.22788313096381466,0.2181568522612717,0.2330671868542831,0.1822441785117588,0.18515083503600818,0.22775645479424847,1.1908480835591897,0.3349863259908475,0.5694681716692773,0.408,4.882973881081048,0.44,18.489464044570923
Copula Optimization,4,0.01036022344723391,0.04645112891968253,0.0427604921893694,0.04010942153297512,0.04419032870509085,0.022368358731772824,0.06748986193479553,0.07449327665881983,0.8830044960050492,0.14925877805420867,0.22216890143739706,0.662,0.7745582207858556,0.892,60.74518084526062
