Strategy,Seed,Avg_KL_Divergence,Avg_TVD,Avg_MAE,Avg_Hellinger,Avg_RMSE,Avg_Weighted_KL,Avg_Weighted_Hellinger,Avg_Weighted_TVD,Inf_LogLoss,Inf_Hellinger,Inf_KL,Inf_Accuracy,Dec_Regret,Dec_Acc,JSON_AvgAbsDiff,JSON_AvgTVD,Avg_Time_Sec
Baseline MLE,0,4.9824405899239264e-05,0.0035374914001713737,0.002852927549448481,0.003021395377096349,0.003080075532691939,1.7479493402247465e-05,0.001915646586592869,0.00203419590508985,0.6464721886749863,0.0055291440117230944,0.0002639576045468452,0.726,0.0,1.0,0.004006666666666664,0.00500833333333333,0.005944252014160156
Random Guess,0,0.234332733245489,0.29176896653201334,0.24942041864183814,0.22909727436080432,0.25906311468677473,0.2222716952091957,0.22132567004571044,0.27654599362388266,0.9796150685374797,0.27875724225622256,0.3724266119034438,0.464,3.7359797157156556,0.528,0.17832666666666666,0.22290833333333335,0.0003829002380371094
Synthetic EM,0,0.1637815562247936,0.16353326364662787,0.16111278926582986,0.1356677060797794,0.1621019866554045,0.2413875136895206,0.22661260504969127,0.27567200221518395,0.8430835202020825,0.19109503895824356,0.21577699237352707,0.574,2.0748883981284747,0.53,0.04832666666666668,0.06040833333333334,4.080989837646484
Constraint Optimization,0,0.281887050452434,0.32085432658854507,0.2810623553304148,0.24413238288882208,0.286245939586226,0.23506589798261238,0.2262482077121024,0.28208565496498744,1.0375138316646082,0.3117830542134887,0.40039692109280006,0.358,5.456214971690723,0.242,0.16582,0.20727500000000001,0.022320032119750977
Iterative Proportional Fitting,0,0.24116930263088343,0.3010266419121161,0.26123467065398576,0.22607062926169763,0.266418254909797,0.4070008350863508,0.30542588757438266,0.3989297819760993,0.8866097101952769,0.2112897101237993,0.22999965546044907,0.544,2.09106368192426,0.646,0.10684666666666667,0.1335583333333333,0.0008831024169921875
MCMC Optimization,0,0.3841102173187594,0.3473186691231432,0.3024038263702772,0.26831711363598854,0.3167563987828011,0.5396812257749187,0.3037826911673034,0.3846295293622322,0.9307278012489482,0.24116984974887765,0.3323623963047243,0.476,3.7465303842799305,0.468,0.14759333333333335,0.1844916666666667,18.846895217895508
Copula Optimization,0,0.12767919485276646,0.14794508918634633,0.14644076414818033,0.12097418151192607,0.14701866069207967,0.2066079873536769,0.2106414512773973,0.25726850591546235,0.8839213719676546,0.1863173706721878,0.30296089782831387,0.658,1.01812612567678,0.788,0.011353333333333314,0.014191666666666642,61.014395236968994
Baseline MLE,1,0.00021234544493142706,0.006764273545981221,0.005892568647793678,0.00592805963295152,0.00608775004638058,0.00013049968490658857,0.0039864246269962775,0.004713509156480451,0.6442638136424012,0.006276843646320207,0.00031619283828218154,0.71,0.014770935989984373,0.916,0.004466666666666665,0.005583333333333332,0.005803108215332031
Random Guess,1,2.4763788512028295,0.5408808614446287,0.4640588598322511,0.4644518869008336,0.4850849253829937,0.7184595115403527,0.40583261077501054,0.5320488865874347,1.6414961640823194,0.42822806177986833,1.0466745326481852,0.284,6.791124438578629,0.204,0.365,0.45625,0.0003788471221923828
Synthetic EM,1,0.11755770365630043,0.14115164254132914,0.14023878358879374,0.11490299054683854,0.14047917980828953,0.17705148400913787,0.1976893250416393,0.24009443829042149,0.8065062430790038,0.17826195310097187,0.18814215420925756,0.604,1.809031986675446,0.564,0.0478,0.05975,0.3075697422027588
Constraint Optimization,1,0.26602742663212475,0.3150032071997209,0.27521123594159064,0.23875335490715122,0.28039482019740186,0.21825155213123676,0.21719857621340194,0.27110756138549996,1.0331622931617501,0.31470016033835,0.4098488752752937,0.38,5.264112482286157,0.292,0.16706666666666667,0.20883333333333332,0.020473003387451172
Iterative Proportional Fitting,1,0.2420657111103657,0.3014599752454494,0.2616680039873191,0.2263783156548296,0.2668515882431303,0.4102598083875609,0.3067359886691521,0.4006308652367315,0.8563683505364158,0.2120939432572719,0.2396386359511369,0.57,2.186586994954053,0.656,0.10892000000000003,0.13615,0.0008828639984130859
MCMC Optimization,1,0.5541625569005246,0.4271004190031468,0.3682128800571796,0.32725184002970337,0.391975703223745,0.5505249434648309,0.2887377369325643,0.3700329552931426,1.2100456369846424,0.321457482498783,0.6096163629175178,0.36,5.65505988592442,0.312,0.24700000000000003,0.30875,17.97376585006714
Copula Optimization,1,0.08933856320216534,0.14101823145297113,0.13785588982447047,0.11376771717695666,0.13911730385538712,0.172831104242875,0.20244989689004078,0.2500216594960454,0.74109389412516,0.13220925813178494,0.11416410845505941,0.686,0.4711290707729708,0.846,0.024106666666666658,0.03013333333333333,60.96873903274536
Baseline MLE,2,0.00016495355310992558,0.006935810851327312,0.005773469222826645,0.005831832304288601,0.005947398339248937,0.00017068663120466685,0.00600697057174801,0.0059810292417611655,0.6297635215364689,0.00587156058007055,0.00021627769820532587,0.708,0.0,1.0,0.003253333333333358,0.004066666666666698,0.0059201717376708984
Random Guess,2,0.23401488908156667,0.25399905437048037,0.22874987539636824,0.21100710424497585,0.23184390376544828,0.4205063768159064,0.301025418109588,0.3907196917254871,0.8691397306712281,0.22570249243381746,0.25864559976851953,0.51,3.498852035965574,0.478,0.08039999999999999,0.10049999999999999,0.0003719329833984375
Synthetic EM,2,0.12846805788860596,0.13486449471383619,0.13361068699970488,0.11172212810920762,0.13377397495326318,0.16182047816870138,0.17543841234135488,0.20806050009281665,0.8306840813316744,0.17729634573444356,0.18701171525407215,0.594,1.9050688284502901,0.536,0.04395999999999997,0.05494999999999998,0.28918910026550293
Constraint Optimization,2,0.3450426829030744,0.3547011017605213,0.314909130502391,0.26919317846305263,0.32009271475820217,0.40883366284012235,0.2861921720077643,0.3658201586494428,1.0329393781330283,0.316453765639468,0.41175651348171033,0.38,5.303778815668226,0.258,0.15613333333333335,0.1951666666666667,0.029785871505737305
Iterative Proportional Fitting,2,0.24158622226058257,0.3012044196898938,0.26141244843176353,0.22619530679794572,0.2665960326875747,0.40607040647865356,0.30467863890322816,0.3979962974918829,0.8260575399494844,0.20690192717141248,0.21660485233525414,0.612,1.9903612385597802,0.648,0.10455999999999999,0.1307,0.0008997917175292969
MCMC Optimization,2,0.5762183863314635,0.3840626634614926,0.3486642527244392,0.3218703358225748,0.3533816804215631,0.7384574874526271,0.35276046111326836,0.434753378236327,1.4572227945843075,0.38540842811803727,0.7504472727938674,0.232,6.92288362773777,0.056,0.18637333333333334,0.23296666666666666,18.563175916671753
Copula Optimization,2,0.11749127751937694,0.15439983252187217,0.15148368317924019,0.12479907997019167,0.15207350432548758,0.20664932747865872,0.21927568700562983,0.27161156206980586,0.8396439685276169,0.16964616748053224,0.18923221978994417,0.644,0.9932388970227372,0.782,0.010373333333333347,0.012966666666666684,61.08681607246399
Baseline MLE,3,0.00020266338396747604,0.005799688129716921,0.004781790945660695,0.005831830795789884,0.005223726512461555,0.000206876490172544,0.005395641430406485,0.005359536038727479,0.615128824027566,0.0058725380183662955,0.00033476608081765597,0.74,0.0,1.0,0.004246666666666673,0.005308333333333341,0.005763053894042969
Random Guess,3,0.4331851816949143,0.3383180732159276,0.277567895142902,0.2677441403829183,0.288964101083153,0.31333167174585363,0.2322401249388368,0.290515499154224,0.9161542430233968,0.22595719895374786,0.2767160007404624,0.516,3.064538116566193,0.476,0.1882066666666667,0.23525833333333335,0.0003719329833984375
Synthetic EM,3,0.008869342439380206,0.039802885500985506,0.038275625047242405,0.03227807614670731,0.03867624582066479,0.007281078306625758,0.02754814429586374,0.033903605686621104,0.7649539382666217,0.1488505332188912,0.15831408931949423,0.598,2.0444286275527914,0.564,0.04704666666666668,0.058808333333333344,4.2115702629089355
Constraint Optimization,3,0.20634333644000835,0.2758367898094935,0.23604481855136325,0.20847575403174745,0.24122840280717442,0.2441705168849967,0.2376889924341088,0.3016435035210512,0.8877704324518642,0.2575173395083615,0.26152914293794777,0.34,2.9613186318378446,0.526,0.16627333333333338,0.20784166666666667,0.0029668807983398438
Iterative Proportional Fitting,3,0.24428150742243884,0.3024933085787827,0.26270133732065243,0.22711195503943626,0.26788492157646365,0.4158641019754913,0.3082690749748602,0.40288852629411465,0.8443436197828166,0.2129696927060789,0.2435182883730569,0.602,2.0441447643799,0.664,0.10351333333333335,0.12939166666666665,0.0008859634399414062
MCMC Optimization,3,0.7458202894723512,0.4285256436947789,0.3568256514711908,0.3394387633486528,0.36840498205044986,0.656889292948616,0.36914256351020586,0.483255177881988,0.9892602890890432,0.25600345536253544,0.3458081629970423,0.514,3.0557458927626313,0.526,0.28304666666666656,0.35380833333333334,18.365628004074097
Copula Optimization,3,0.01166742829682702,0.0490395821751057,0.04490450100034812,0.043385214787332115,0.04573109129772201,0.029331074870143654,0.07854479908398869,0.08611394662572325,0.8617323164884182,0.1677456110016638,0.2675792778010753,0.576,2.301494836648147,0.732,0.019606666666666675,0.024508333333333344,61.13639307022095
Baseline MLE,4,0.00011650882301695633,0.00593321902171358,0.005275915624733778,0.004936231702861997,0.005430695785734897,7.223679946696727e-05,0.0034619579197516506,0.004049610422080018,0.6236472453605477,0.0054220261665954795,0.00021490931372523093,0.728,0.009143912755704612,0.948,0.0051533333333333466,0.006441666666666683,0.0060160160064697266
Random Guess,4,0.4869078758090481,0.31334591336925766,0.2850791614250585,0.2549872351406263,0.2947342497935867,0.39590583715277416,0.25605188990543337,0.3121407886703036,0.8756026556830668,0.1978796248052476,0.2538805242439319,0.61,1.6831429774011466,0.832,0.22204666666666661,0.2775583333333333,0.00038909912109375
Synthetic EM,4,0.008132811285512034,0.036112673828878276,0.034752080041801844,0.0294097854343482,0.03496019605028161,0.006358998971757761,0.022281100532278615,0.0278335910426924,0.8055675256731295,0.15552508760946407,0.1664768285516243,0.582,1.9851468884300525,0.55,0.049819999999999996,0.06227500000000002,0.1826798915863037
Constraint Optimization,4,0.3423552541905773,0.3542454563358394,0.31445348507770915,0.26876534536286806,0.3196370693335204,0.40637743423978795,0.2864005593246188,0.36605552241431394,1.0339575619309185,0.31333165207183616,0.40335036297567634,0.38,5.270412480958154,0.264,0.16324666666666668,0.2040583333333333,0.04137086868286133
Iterative Proportional Fitting,4,0.23968501820803048,0.300315530801005,0.26052355954287465,0.22556839428446843,0.2657071437986858,0.40281408115409334,0.3041019234718064,0.3970323700350731,0.8641026372712406,0.2165452173061514,0.24298885123149708,0.576,2.2553981088647315,0.626,0.10496666666666667,0.13120833333333334,0.0008981227874755859
MCMC Optimization,4,0.25375757599077514,0.24692412330974597,0.22788313096381466,0.2181568522612717,0.2330671868542831,0.1822441785117588,0.18515083503600818,0.22775645479424847,1.1932161313679808,0.3400313981977182,0.5825586589093122,0.416,4.986696395440657,0.442,0.24112666666666668,0.30140833333333333,18.525881052017212
Copula Optimization,4,0.01036022344723391,0.04645112891968253,0.0427604921893694,0.04010942153297512,0.04419032870509085,0.022368358731772824,0.06748986193479553,0.07449327665881983,0.9557801451844682,0.16145580212930868,0.2629545402842569,0.654,0.8758755227049287,0.868,0.011486666666666655,0.01435833333333332,61.309524059295654
