,Avg_KL_Divergence,Avg_KL_Divergence,Avg_TVD,Avg_TVD,Avg_MAE,Avg_MAE,Avg_Hellinger,Avg_Hellinger,Avg_RMSE,Avg_RMSE,Avg_Weighted_KL,Avg_Weighted_KL,Avg_Weighted_Hellinger,Avg_Weighted_Hellinger,Avg_Weighted_TVD,Avg_Weighted_TVD,Inf_LogLoss,Inf_LogLoss,Inf_Hellinger,Inf_Hellinger,Inf_KL,Inf_KL,Inf_Accuracy,Inf_Accuracy,Dec_Regret,Dec_Regret,Dec_Acc,Dec_Acc,Faithfulness_TVD,Faithfulness_TVD,Avg_Time_Sec,Avg_Time_Sec
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Strategy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline MLE,0.00022849699269294216,0.00013813335111344962,0.007338754676836462,0.0023004588998065145,0.00631514474947798,0.002045025732294953,0.006340532051957895,0.0012849627054230786,0.006626729145619482,0.0022456664272383076,0.0004941854672290872,0.0006256263562241449,0.008772871557080956,0.005992199793038159,0.010327921783163642,0.006756479427629877,0.6231427546218693,0.026775184787921322,0.005578729431463125,0.002066181056558685,0.00015709481792760947,0.00010557794558281613,0.6344000000000001,0.024223955085823645,0.0,0.0,1.0,0.0,8.326672684688674e-18,7.601177430610146e-18,0.0019606590270996095,0.00035938789880888183
Constraint Optimization,0.27469784079378695,0.04240574110272115,0.2843615439670486,0.030906003729292156,0.23259895460765626,0.030906003729292135,0.265572871550057,0.02191785849249078,0.25334263707977933,0.03090600372929215,0.16616830274467076,0.04673606260514206,0.18039934128603824,0.02963502755818703,0.24091568413926717,0.042041975150144725,0.7428806720611505,0.06811123951757958,0.13195356618914098,0.044257651274898495,0.1285285656715906,0.07432608138306716,0.3892,0.027224988521577016,1.5741765624446287,1.9032015773611004,0.8324,0.20138718926485866,0.21456619929083312,0.003189518352840761,0.0023972511291503905,0.002813762896569806
Copula Optimization,1.405170888367456,1.4742311032044406,0.14841405438088956,0.017973494681338263,0.14476774824485678,0.015449254358204757,0.12990188675511277,0.019596042808417043,0.14589838386718712,0.016707161885896767,5.246495481944307,5.497364152732038,0.4218578601427745,0.05069245235301752,0.4940428173400123,0.022091384901722633,0.7925542408297461,0.1851111556929862,0.03248683120383266,0.013648023225813724,0.17452441853163084,0.17676298320726014,0.596,0.038626415831655915,0.3643318771890403,0.3534661627046268,0.85,0.2839894364232585,0.016870000000000003,0.010958991741944157,7.432647371292115,0.12711278045716828
Iterative Proportional Fitting,0.2565497497976354,0.0013390862474647435,0.27122542806448224,0.000948214696738623,0.21946283870508987,0.0009482146967386229,0.2562183708892449,0.0006757546019916552,0.240206521177213,0.0009482146967386251,0.24678942260581782,0.0063575952648191845,0.22359982215163118,0.003409141877826071,0.30224770096467957,0.004782960533373421,0.662676108659557,0.010125408213507964,0.09716328732665849,0.0006624832682186194,0.04578328375103929,0.0018080957954306968,0.6228,0.021288494545176274,0.19753341952868547,0.02839343271419229,0.978,0.003162277660168381,0.1552666666666667,0.0007976528066771894,0.00024013519287109376,3.628132328407418e-05
MCMC Optimization,0.4430735849724937,0.39817666642157423,0.3244115802207262,0.17775545603509432,0.25413054191850104,0.1520652984731431,0.2750034066400918,0.14651796173444345,0.2691839350616397,0.15642930647425954,0.23000074931308706,0.41041623161090396,0.14511517504973415,0.1807196471418466,0.18614387583847375,0.22805745195729438,0.893740270566522,0.40347389285127505,0.18752975704667546,0.16317965369685902,0.30255949261578957,0.43681461531241805,0.5067999999999999,0.10677640188730841,2.386448402871557,1.9065263665801404,0.538,0.37150235530881903,0.2744681853988895,0.10659847969660656,3.285734224319458,0.10544699087027251
Random Guess,0.5650520763839697,0.47713377037968935,0.3139865509772985,0.14836115043570663,0.259893943467069,0.11373499447697445,0.29158533692794936,0.13059566060786967,0.2751314154266629,0.12310454718546128,0.5325176723689278,0.7597077688076697,0.24586016122857185,0.17550210432420907,0.3078794023976916,0.20466578494326831,0.9351943515902145,0.21141953635985922,0.2273117426854272,0.0634293089603572,0.3164995474773184,0.20935613163255448,0.43200000000000005,0.08411896337925233,3.3458799456404753,1.463947865448063,0.324,0.3034633421024688,0.25528624241193765,0.13878373371204325,0.000576639175415039,0.0008924422488851847
Synthetic EM,1.3039439339633494,1.5656566945702464,0.13786078432759521,0.02581288465478868,0.13338114485822908,0.023670286686904296,0.1150752594921993,0.02855451756598502,0.1348769522635505,0.024657508341219006,4.875926859297043,5.859652468050927,0.36889617948804954,0.10284846052370526,0.44247680938697453,0.07674572071091489,0.7972485951634499,0.1951955739722116,0.03531830065511976,0.0063565808151785485,0.1812589147723554,0.2160179102725368,0.6148,0.027077666073722077,0.5134079987229823,0.4413592437969708,0.7356,0.3328465111729429,0.02364,0.008534225213808236,0.01846761703491211,0.00829144403567974
