Strategy,Seed,Avg_KL_Divergence,Avg_TVD,Avg_MAE,Avg_Hellinger,Avg_RMSE,Avg_Weighted_KL,Avg_Weighted_Hellinger,Avg_Weighted_TVD,Inf_LogLoss,Inf_Hellinger,Inf_KL,Inf_Accuracy,Dec_Regret,Dec_Acc,JSON_AvgAbsDiff,JSON_AvgTVD,Avg_Time_Sec
Baseline MLE,0,4.9824405899239264e-05,0.0035374914001713737,0.002852927549448481,0.003021395377096349,0.003080075532691939,1.7479493402247465e-05,0.001915646586592869,0.00203419590508985,0.5811829087293663,0.005493020063043299,0.000269110989453758,0.754,0.0,1.0,0.004006666666666664,0.00500833333333333,0.005964040756225586
Random Guess,0,0.234332733245489,0.29176896653201334,0.24942041864183814,0.22909727436080432,0.25906311468677473,0.2222716952091957,0.22132567004571044,0.27654599362388266,0.9919318779387755,0.27651560860327856,0.37080888462609213,0.444,3.655761970822901,0.542,0.17832666666666666,0.22290833333333335,0.0003771781921386719
Synthetic EM,0,0.13470779824882165,0.15802760470288843,0.15666268587764598,0.12824332099574995,0.15693369813730315,0.21988758784483592,0.22448128213476276,0.2759737392784303,0.8153609717366403,0.19100796719263038,0.20106910376750922,0.574,2.0699899056545408,0.538,0.04686000000000001,0.058575000000000016,1.7568371295928955
Constraint Optimization,0,0.281887050452434,0.32085432658854507,0.2810623553304148,0.24413238288882208,0.286245939586226,0.23506589798261238,0.2262482077121024,0.28208565496498744,1.0472246022782534,0.31282281395246647,0.4036510523340261,0.34,5.509797121322419,0.244,0.16582,0.20727500000000001,0.02213597297668457
Iterative Proportional Fitting,0,0.24116930263088343,0.3010266419121161,0.26123467065398576,0.22607062926169763,0.266418254909797,0.4070008350863508,0.30542588757438266,0.3989297819760993,0.90137979020236,0.214661364105433,0.24148120387473454,0.544,2.1771072374967333,0.64,0.10684666666666667,0.1335583333333333,0.0009102821350097656
MCMC Optimization,0,0.5598646258980798,0.4145023466303794,0.3733471882493075,0.3349416673467395,0.3824342516214502,0.5677338091526527,0.3317392976626204,0.3873694391360125,1.0944519561189772,0.3448362263988422,0.5101042631880166,0.242,7.1166705236193275,0.128,0.1893,0.23662499999999997,7.441179990768433
Copula Optimization,0,0.12767919485276646,0.14794508918634633,0.14644076414818033,0.12097418151192607,0.14701866069207967,0.2066079873536769,0.2106414512773973,0.25726850591546235,0.8466519280376615,0.18187484565540393,0.2858164649169158,0.674,0.9907269822864605,0.796,0.011353333333333314,0.014191666666666642,24.265019178390503
Baseline MLE,1,0.00021234544493142706,0.006764273545981221,0.005892568647793678,0.00592805963295152,0.00608775004638058,0.00013049968490658857,0.0039864246269962775,0.004713509156480451,0.7007013687467202,0.006599506567620363,0.000322646808699967,0.67,0.016881069702839285,0.904,0.004466666666666665,0.005583333333333332,0.005883932113647461
Random Guess,1,2.4763788512028295,0.5408808614446287,0.4640588598322511,0.4644518869008336,0.4850849253829937,0.7184595115403527,0.40583261077501054,0.5320488865874347,1.6540476778391575,0.4115113535186208,0.984658442400791,0.28,6.384567495921179,0.23,0.365,0.45625,0.00036907196044921875
Synthetic EM,1,0.11755770365630043,0.14115164254132914,0.14023878358879374,0.11490299054683854,0.14047917980828953,0.17705148400913787,0.1976893250416393,0.24009443829042149,0.8347836365989155,0.1847467048449449,0.19412578248439588,0.586,1.9705078694652072,0.518,0.0478,0.05975,0.3018066883087158
Constraint Optimization,1,0.26602742663212475,0.3150032071997209,0.27521123594159064,0.23875335490715122,0.28039482019740186,0.21825155213123676,0.21719857621340194,0.27110756138549996,1.0343165621432384,0.31302865409477976,0.40308036716030526,0.388,5.170062115572001,0.284,0.16706666666666667,0.20883333333333332,0.020617008209228516
Iterative Proportional Fitting,1,0.2420657111103657,0.3014599752454494,0.2616680039873191,0.2263783156548296,0.2668515882431303,0.4102598083875609,0.3067359886691521,0.4006308652367315,0.9083150624854022,0.20927294674195704,0.2287664232693572,0.542,2.031393558343608,0.654,0.10892000000000003,0.13615,0.0009047985076904297
MCMC Optimization,1,0.3640010709140052,0.22639996738014037,0.21376021515851054,0.202693296391209,0.21860120254889737,0.31188359309348845,0.20776316179191284,0.2508213987324981,1.7773760011178745,0.38290534590872155,1.1288812330809015,0.352,5.442004198129725,0.414,0.13738666666666666,0.17173333333333332,7.192037105560303
Copula Optimization,1,0.11258333047689527,0.15599289407087236,0.1521878558393515,0.12647937002059217,0.1528317707396989,0.20229033656238105,0.2185871502788824,0.27094663516162465,0.8649034940732124,0.14994827650985162,0.16288347517528728,0.622,0.8405745455939759,0.798,0.016,0.02,24.245595932006836
Baseline MLE,2,0.00016495355310992558,0.006935810851327312,0.005773469222826645,0.005831832304288601,0.005947398339248937,0.00017068663120466685,0.00600697057174801,0.0059810292417611655,0.5997766740999785,0.00583860629742523,0.00021234570301057636,0.742,0.0,1.0,0.003253333333333358,0.004066666666666698,0.0059468746185302734
Random Guess,2,0.23401488908156667,0.25399905437048037,0.22874987539636824,0.21100710424497585,0.23184390376544828,0.4205063768159064,0.301025418109588,0.3907196917254871,0.8798360174801648,0.23179268465075917,0.26841550054305585,0.464,3.7843011873057764,0.454,0.08039999999999999,0.10049999999999999,0.0003790855407714844
Synthetic EM,2,0.12846805788860596,0.13486449471383619,0.13361068699970488,0.11172212810920762,0.13377397495326318,0.16182047816870138,0.17543841234135488,0.20806050009281665,0.8233311575943298,0.1786387304678454,0.18711475738195826,0.592,1.7245304470650764,0.556,0.04395999999999997,0.05494999999999998,0.2891273498535156
Constraint Optimization,2,0.3450426829030744,0.3547011017605213,0.314909130502391,0.26919317846305263,0.32009271475820217,0.40883366284012235,0.2861921720077643,0.3658201586494428,1.0252496639237183,0.3127068591988732,0.4036951709896152,0.384,5.0073342169281805,0.284,0.15613333333333335,0.1951666666666667,0.029852867126464844
Iterative Proportional Fitting,2,0.24158622226058257,0.3012044196898938,0.26141244843176353,0.22619530679794572,0.2665960326875747,0.40607040647865356,0.30467863890322816,0.3979962974918829,0.8140817954630684,0.20525245620357413,0.20525888674888193,0.59,2.0555567428952264,0.644,0.10455999999999999,0.1307,0.0008990764617919922
MCMC Optimization,2,0.19573146617748716,0.26358618976891585,0.22729540566859163,0.20632804873376162,0.23913977759262606,0.227509933590468,0.19765091421749725,0.25410146521398996,0.91626641458508,0.2534527667289769,0.27478695118558305,0.442,3.795906922726478,0.388,0.1432266666666667,0.17903333333333335,7.437410116195679
Copula Optimization,2,0.11749127751937694,0.15439983252187217,0.15148368317924019,0.12479907997019167,0.15207350432548758,0.20664932747865872,0.21927568700562983,0.27161156206980586,0.8162065702820127,0.17071655220959303,0.18709740136044503,0.674,0.8325167165110098,0.8,0.010373333333333347,0.012966666666666684,24.315975189208984
Baseline MLE,3,0.00020266338396747604,0.005799688129716921,0.004781790945660695,0.005831830795789884,0.005223726512461555,0.000206876490172544,0.005395641430406485,0.005359536038727479,0.6780903772205145,0.0055032037529879375,0.0003101077558056964,0.696,0.0,1.0,0.004246666666666673,0.005308333333333341,0.005899190902709961
