Strategy,Seed,Avg_KL_Divergence,Avg_TVD,Avg_MAE,Avg_Hellinger,Avg_RMSE,Avg_Weighted_KL,Avg_Weighted_Hellinger,Avg_Weighted_TVD,Inf_LogLoss,Inf_Hellinger,Inf_KL,Inf_Accuracy,Dec_Regret,Dec_Acc,JSON_AvgAbsDiff,JSON_AvgTVD,Avg_Time_Sec
Baseline MLE,0,4.9824405899239264e-05,0.0035374914001713737,0.002852927549448481,0.003021395377096349,0.003080075532691939,1.7479493402247465e-05,0.001915646586592869,0.00203419590508985,0.6022320985233552,0.0055799323106269505,0.0002770470663517766,0.74,0.0,1.0,0.004006666666666664,0.00500833333333333,0.006711006164550781
Random Guess,0,0.234332733245489,0.29176896653201334,0.24942041864183814,0.22909727436080432,0.25906311468677473,0.2222716952091957,0.22132567004571044,0.27654599362388266,1.0228323296103552,0.27954306191316514,0.37749310857157964,0.436,3.7436263606604694,0.532,0.17832666666666666,0.22290833333333335,0.00047206878662109375
Synthetic EM,0,0.13741189198063566,0.15626339497007183,0.15495403170038494,0.12673002555808358,0.15513036539620847,0.2240405517517668,0.22509428282674118,0.2769989429011229,0.8249693863946266,0.18584152114180313,0.20631209912467655,0.58,2.067960508449291,0.534,0.04577999999999998,0.05722499999999999,0.6220710277557373
Constraint Optimization,0,0.281887050452434,0.32085432658854507,0.2810623553304148,0.24413238288882208,0.286245939586226,0.23506589798261238,0.2262482077121024,0.28208565496498744,1.0452687282822213,0.31359481707468195,0.4051809579316192,0.354,5.468077251475798,0.248,0.16582,0.20727500000000001,0.021596908569335938
Iterative Proportional Fitting,0,0.24116930263088343,0.3010266419121161,0.26123467065398576,0.22607062926169763,0.266418254909797,0.4070008350863508,0.30542588757438266,0.3989297819760993,0.8990991215620083,0.21390262004542235,0.24143571116313212,0.546,2.1545150569973837,0.642,0.10684666666666667,0.1335583333333333,0.0008471012115478516
MCMC Optimization,0,0.3711120352764476,0.2854573910537175,0.22118694743673054,0.23069598569431984,0.23444521980192115,0.09108149603410096,0.13731505527946689,0.1614241294165929,0.9852569888080551,0.2523179233395681,0.3471211124291,0.452,3.7436263606604694,0.532,0.2621266666666667,0.32765833333333333,1.8075346946716309
Copula Optimization,0,0.15888246394484054,0.1531157532145654,0.15062007825273138,0.1278192329068036,0.15135464105508242,0.23524167424293763,0.20926124880571906,0.25420416996821293,0.8482057614147709,0.1851165434996557,0.284117419610925,0.65,1.0326516623780821,0.786,0.012673333333333335,0.015841666666666667,5.90300726890564
Baseline MLE,1,0.00021234544493142706,0.006764273545981221,0.005892568647793678,0.00592805963295152,0.00608775004638058,0.00013049968490658857,0.0039864246269962775,0.004713509156480451,0.702137793660466,0.007274171382205404,0.00037441797254231913,0.69,0.010902357516417037,0.938,0.004466666666666665,0.005583333333333332,0.005630970001220703
Random Guess,1,2.4763788512028295,0.5408808614446287,0.4640588598322511,0.4644518869008336,0.4850849253829937,0.7184595115403527,0.40583261077501054,0.5320488865874347,1.5980776884494703,0.4107649671322797,0.9910873921522976,0.316,6.377457521537408,0.254,0.365,0.45625,0.0003571510314941406
Synthetic EM,1,0.11755770365630043,0.14115164254132914,0.14023878358879374,0.11490299054683854,0.14047917980828953,0.17705148400913787,0.1976893250416393,0.24009443829042149,0.871141622552582,0.1996665490570779,0.21271800820196446,0.526,2.315717102259935,0.49,0.0478,0.05975,0.2973198890686035
Constraint Optimization,1,0.26602742663212475,0.3150032071997209,0.27521123594159064,0.23875335490715122,0.28039482019740186,0.21825155213123676,0.21719857621340194,0.27110756138549996,1.0477391089643298,0.3115323844577829,0.39403706847519077,0.352,5.150872660550829,0.26,0.16706666666666667,0.20883333333333332,0.019746065139770508
Iterative Proportional Fitting,1,0.2420657111103657,0.3014599752454494,0.2616680039873191,0.2263783156548296,0.2668515882431303,0.4102598083875609,0.3067359886691521,0.4006308652367315,0.9181455496510667,0.2186641704674311,0.2573186852538516,0.544,2.193137375404813,0.622,0.10892000000000003,0.13615,0.0008711814880371094
MCMC Optimization,1,0.157513908624142,0.2008861539405061,0.1786333438480349,0.16732458682949983,0.18133306242819103,0.09269212377126688,0.12065744762561534,0.14108756605273956,1.2364701371120654,0.32161033816266876,0.6127423996918822,0.368,5.493851758361911,0.338,0.16629333333333335,0.20786666666666667,1.7782840728759766
Copula Optimization,1,0.10663329965126477,0.14396815905877994,0.14365879578909307,0.11360159296186835,0.14373620053850608,0.22454126707317956,0.22771804719992933,0.2858904458910121,0.8144336452284333,0.1485580737860811,0.14711766760814404,0.598,1.7786033549530096,0.744,0.010053333333333329,0.012566666666666662,5.9165568351745605
Baseline MLE,2,0.00016495355310992558,0.006935810851327312,0.005773469222826645,0.005831832304288601,0.005947398339248937,0.00017068663120466685,0.00600697057174801,0.0059810292417611655,0.6213787560259632,0.005870037818542618,0.00021935741104483713,0.714,0.0,1.0,0.003253333333333358,0.004066666666666698,0.005677938461303711
Random Guess,2,0.23401488908156667,0.25399905437048037,0.22874987539636824,0.21100710424497585,0.23184390376544828,0.4205063768159064,0.301025418109588,0.3907196917254871,0.8730679451347227,0.22485216467814884,0.25548530583489737,0.484,3.503518892334114,0.482,0.08039999999999999,0.10049999999999999,0.0003600120544433594
Synthetic EM,2,0.12846805788860596,0.13486449471383619,0.13361068699970488,0.11172212810920762,0.13377397495326318,0.16182047816870138,0.17543841234135488,0.20806050009281665,0.8344318412119126,0.18471036459766862,0.1991923584447303,0.6,1.9745378884129219,0.522,0.04395999999999997,0.05494999999999998,0.28221797943115234
Constraint Optimization,2,0.3450426829030744,0.3547011017605213,0.314909130502391,0.26919317846305263,0.32009271475820217,0.40883366284012235,0.2861921720077643,0.3658201586494428,1.0559055305507534,0.3187525841107611,0.4159259608980806,0.382,5.235034599290343,0.268,0.15613333333333335,0.1951666666666667,0.02916884422302246
Iterative Proportional Fitting,2,0.24158622226058257,0.3012044196898938,0.26141244843176353,0.22619530679794572,0.2665960326875747,0.40607040647865356,0.30467863890322816,0.3979962974918829,0.8539624221743893,0.20916723086889155,0.22387334115873841,0.588,1.9015464646051707,0.656,0.10455999999999999,0.1307,0.0008478164672851562
MCMC Optimization,2,0.2963762770089293,0.242675740484081,0.2315709358343608,0.2113463424741245,0.23385627266017925,0.7022742311009146,0.370333036708119,0.4798214985071966,0.9005728121133862,0.2125400551137901,0.283104061195393,0.484,3.503518892334114,0.482,0.08071999999999999,0.10089999999999999,1.7826588153839111
Copula Optimization,2,0.12105036138355414,0.15808769801778555,0.15450488200848692,0.12820350523127955,0.15499366819273241,0.2124009615342364,0.2226297275062461,0.27620848494975253,0.8057708382261703,0.16717620233733363,0.18589132704091843,0.67,0.8415230212445374,0.796,0.013786666666666671,0.017233333333333344,5.922206878662109
Baseline MLE,3,0.00020266338396747604,0.005799688129716921,0.004781790945660695,0.005831830795789884,0.005223726512461555,0.000206876490172544,0.005395641430406485,0.005359536038727479,0.6344996572114152,0.005344740878102332,0.00028741023970877213,0.722,0.0,1.0,0.004246666666666673,0.005308333333333341,0.0057489871978759766
