Strategy,Seed,Avg_KL_Divergence,Avg_TVD,Avg_MAE,Avg_Hellinger,Avg_RMSE,Avg_Weighted_KL,Avg_Weighted_Hellinger,Avg_Weighted_TVD,Inf_LogLoss,Inf_Hellinger,Inf_KL,Inf_Accuracy,Dec_Regret,Dec_Acc,JSON_AvgAbsDiff,JSON_AvgTVD,Avg_Time_Sec
Baseline MLE,0,4.9824405899239264e-05,0.0035374914001713737,0.002852927549448481,0.003021395377096349,0.003080075532691939,1.7479493402247465e-05,0.001915646586592869,0.00203419590508985,0.6516678024536334,0.005844537427024216,0.00030293117172497386,0.702,0.0,1.0,0.004006666666666664,0.00500833333333333,0.0057909488677978516
Random Guess,0,0.234332733245489,0.29176896653201334,0.24942041864183814,0.22909727436080432,0.25906311468677473,0.2222716952091957,0.22132567004571044,0.27654599362388266,1.0547842872250723,0.2829486689692758,0.3895797482223612,0.426,3.793293701679684,0.522,0.17832666666666666,0.22290833333333335,0.00036716461181640625
Synthetic EM,0,0.13470779824882165,0.15802760470288843,0.15666268587764598,0.12824332099574995,0.15693369813730315,0.21988758784483592,0.22448128213476276,0.2759737392784303,0.8329445178769325,0.19168543238530067,0.20298891201121605,0.574,2.2345172037566643,0.524,0.04686000000000001,0.058575000000000016,1.8013510704040527
Constraint Optimization,0,0.281887050452434,0.32085432658854507,0.2810623553304148,0.24413238288882208,0.286245939586226,0.23506589798261238,0.2262482077121024,0.28208565496498744,1.0542849968720789,0.316501937720221,0.4104197210070104,0.354,5.714366581018056,0.22,0.16582,0.20727500000000001,0.021704912185668945
Iterative Proportional Fitting,0,0.24116930263088343,0.3010266419121161,0.26123467065398576,0.22607062926169763,0.266418254909797,0.4070008350863508,0.30542588757438266,0.3989297819760993,0.9420223024612133,0.21514231023996397,0.25322925143243097,0.534,2.1184642030358956,0.646,0.10684666666666667,0.1335583333333333,0.0008759498596191406
MCMC Optimization,0,0.5598646258980798,0.4145023466303794,0.3733471882493075,0.3349416673467395,0.3824342516214502,0.5677338091526527,0.3317392976626204,0.3873694391360125,1.1083598801045944,0.3498762802795744,0.5230856230581141,0.25,7.292134282356769,0.11,0.1893,0.23662499999999997,7.382358074188232
Copula Optimization,0,0.12767919485276646,0.14794508918634633,0.14644076414818033,0.12097418151192607,0.14701866069207967,0.2066079873536769,0.2106414512773973,0.25726850591546235,0.9028530900943217,0.18542759247697171,0.3039617473536512,0.622,1.165273718950591,0.778,0.011353333333333314,0.014191666666666642,24.226813793182373
Baseline MLE,1,0.00021234544493142706,0.006764273545981221,0.005892568647793678,0.00592805963295152,0.00608775004638058,0.00013049968490658857,0.0039864246269962775,0.004713509156480451,0.6254769764256628,0.0064145994341168406,0.0003212472622919635,0.738,0.013012491229271948,0.926,0.004466666666666665,0.005583333333333332,0.005828142166137695
Random Guess,1,2.4763788512028295,0.5408808614446287,0.4640588598322511,0.4644518869008336,0.4850849253829937,0.7184595115403527,0.40583261077501054,0.5320488865874347,1.604907480951178,0.4151542346901632,0.9993449594565976,0.304,6.543538751969177,0.232,0.365,0.45625,0.0003871917724609375
Synthetic EM,1,0.11755770365630043,0.14115164254132914,0.14023878358879374,0.11490299054683854,0.14047917980828953,0.17705148400913787,0.1976893250416393,0.24009443829042149,0.8203453088108369,0.18547180794690918,0.19463586831698543,0.57,1.9955805252816792,0.54,0.0478,0.05975,0.3057980537414551
Constraint Optimization,1,0.26602742663212475,0.3150032071997209,0.27521123594159064,0.23875335490715122,0.28039482019740186,0.21825155213123676,0.21719857621340194,0.27110756138549996,1.023059415236518,0.3109082516636755,0.39862935400570254,0.366,5.199003349862041,0.284,0.16706666666666667,0.20883333333333332,0.020592927932739258
Iterative Proportional Fitting,1,0.2420657111103657,0.3014599752454494,0.2616680039873191,0.2263783156548296,0.2668515882431303,0.4102598083875609,0.3067359886691521,0.4006308652367315,0.8688127847747353,0.21938200634778138,0.253267754305596,0.542,2.349548082354604,0.622,0.10892000000000003,0.13615,0.0008859634399414062
MCMC Optimization,1,0.3640010709140052,0.22639996738014037,0.21376021515851054,0.202693296391209,0.21860120254889737,0.31188359309348845,0.20776316179191284,0.2508213987324981,1.717635146062882,0.3795274749539333,1.1256363073182334,0.394,5.352385243172575,0.418,0.13738666666666666,0.17173333333333332,7.175145864486694
Copula Optimization,1,0.11258333047689527,0.15599289407087236,0.1521878558393515,0.12647937002059217,0.1528317707396989,0.20229033656238105,0.2185871502788824,0.27094663516162465,0.7499455978661714,0.14056741868051065,0.14054143335123723,0.688,0.683269014939264,0.844,0.016,0.02,24.19572615623474
Baseline MLE,2,0.00016495355310992558,0.006935810851327312,0.005773469222826645,0.005831832304288601,0.005947398339248937,0.00017068663120466685,0.00600697057174801,0.0059810292417611655,0.600088852278261,0.005795337941302713,0.00021488800156300298,0.744,0.0,1.0,0.003253333333333358,0.004066666666666698,0.0058231353759765625
Random Guess,2,0.23401488908156667,0.25399905437048037,0.22874987539636824,0.21100710424497585,0.23184390376544828,0.4205063768159064,0.301025418109588,0.3907196917254871,0.8792011634874954,0.2233076444521278,0.2514558119699952,0.466,3.4678977221981513,0.492,0.08039999999999999,0.10049999999999999,0.00037407875061035156
Synthetic EM,2,0.12846805788860596,0.13486449471383619,0.13361068699970488,0.11172212810920762,0.13377397495326318,0.16182047816870138,0.17543841234135488,0.20806050009281665,0.8418136875074365,0.181023168149801,0.19418040621435687,0.566,1.8572923954286948,0.532,0.04395999999999997,0.05494999999999998,0.2875373363494873
Constraint Optimization,2,0.3450426829030744,0.3547011017605213,0.314909130502391,0.26919317846305263,0.32009271475820217,0.40883366284012235,0.2861921720077643,0.3658201586494428,1.0461194419534503,0.31826432365135715,0.4161669557069714,0.356,5.195059917876004,0.274,0.15613333333333335,0.1951666666666667,0.03028702735900879
Iterative Proportional Fitting,2,0.24158622226058257,0.3012044196898938,0.26141244843176353,0.22619530679794572,0.2665960326875747,0.40607040647865356,0.30467863890322816,0.3979962974918829,0.8214874942558709,0.2054994534283767,0.21455544829004328,0.592,1.9112068305653598,0.658,0.10455999999999999,0.1307,0.0008349418640136719
MCMC Optimization,2,0.19573146617748716,0.26358618976891585,0.22729540566859163,0.20632804873376162,0.23913977759262606,0.227509933590468,0.19765091421749725,0.25410146521398996,0.9236568413686035,0.2458093919411235,0.2631664398586234,0.444,3.4830203471402785,0.406,0.1432266666666667,0.17903333333333335,7.422577142715454
Copula Optimization,2,0.11749127751937694,0.15439983252187217,0.15148368317924019,0.12479907997019167,0.15207350432548758,0.20664932747865872,0.21927568700562983,0.27161156206980586,0.8097932481190453,0.171898304966758,0.1936254142132381,0.67,0.9578526733193421,0.774,0.010373333333333347,0.012966666666666684,24.234880924224854
