Strategy,Seed,Avg_KL_Divergence,Avg_TVD,Avg_MAE,Avg_Hellinger,Avg_RMSE,Avg_Weighted_KL,Avg_Weighted_Hellinger,Avg_Weighted_TVD,Inf_LogLoss,Inf_Hellinger,Inf_KL,Inf_Accuracy,Dec_Regret,Dec_Acc,JSON_AvgAbsDiff,JSON_AvgTVD,Avg_Time_Sec
Baseline MLE,0,0.00010023409560807699,0.004108925839052859,0.004108925839052859,0.004700957180943482,0.004108925839052859,0.0001586804109130884,0.005831844090721642,0.006324060970932362,0.4778869484557755,0.004741267841068006,0.00013021376620488687,0.764,0.0007155487177579003,0.994,0.005849999999999987,0.005849999999999987,0.0058629512786865234
Random Guess,0,0.27478398522479847,0.2890923550168522,0.2890923550168522,0.25068508546980167,0.2890923550168522,0.03885584844474506,0.0812045105527784,0.09733803462648365,0.6756305870734707,0.12594203290049097,0.16693015693356628,0.588,2.494371069128638,0.762,0.21471666666666667,0.21471666666666667,0.00037407875061035156
Synthetic EM,0,0.04711995287803015,0.08599409479326463,0.08599409479326463,0.06969502600306754,0.08599409479326463,0.003915619389727061,0.014273923008290734,0.015740535373247475,0.5518933755128231,0.071692231067156,0.06129922756887565,0.596,0.02272083147450484,0.992,0.05216666666666666,0.05216666666666666,0.09977102279663086
Constraint Optimization,0,0.3553761031086524,0.3797147327775627,0.3797147327775627,0.3169852560877753,0.3797147327775627,0.24709757231916568,0.2583417541129442,0.3342740609709324,0.6931471805599454,0.2003216496451568,0.20139429904958872,0.25,0.19524953018873997,0.972,0.28426666666666667,0.2842666666666667,0.002353191375732422
Iterative Proportional Fitting,0,0.5191112104872437,0.3797147327775627,0.3797147327775627,0.3146329288114718,0.3797147327775627,0.02520497145626434,0.03185403295287817,0.037199410970932344,0.5425369294581185,0.0838562829920115,0.05691394488725088,0.75,0.19524953018873997,0.972,0.16451666666666667,0.16451666666666667,0.0005590915679931641
MCMC Optimization,0,1.3307217562825946,0.5039985259065668,0.5039985259065668,0.4236865770330842,0.5039985259065668,0.11155336120322208,0.16375888579146042,0.20117463394829393,0.7431372190795055,0.20832367496029622,0.2325368961911419,0.6,2.321842370414403,0.782,0.39838333333333337,0.3983833333333335,7.338811159133911
Copula Optimization,0,0.04830018852076202,0.07707318498204531,0.07707318498204531,0.06859336863138076,0.07707318498204531,0.00539731889380115,0.02366096986772406,0.02706037479076663,0.48792030333568787,0.01617875281852224,0.007465753638915649,0.752,0.17324424743199301,0.974,0.015566666666666678,0.01556666666666668,23.656574964523315
Baseline MLE,1,0.00043880623491309584,0.006421767063313461,0.006421767063313461,0.0062787323624843155,0.006421767063313461,3.799193092655719e-05,0.0018465027895387838,0.0019158639087303135,0.4843444862072635,0.002502403134916165,4.177097363040385e-05,0.778,0.0,1.0,0.002400000000000006,0.002400000000000006,0.005937814712524414
Random Guess,1,1.3632489143693567,0.4556179858995151,0.4556179858995151,0.3962968134727978,0.4556179858995151,0.39536456969875144,0.3011970128515997,0.39285251212887706,0.6580867901498013,0.1889987141143309,0.17429683634676144,0.768,0.1009986204915931,0.986,0.23726666666666665,0.23726666666666665,0.00036406517028808594
Synthetic EM,1,0.05886333270756433,0.08389476040574206,0.08389476040574206,0.06887342478516388,0.08389476040574206,0.005815938356141571,0.0223882159510893,0.02400980795022908,0.5501607684721417,0.0768685031270847,0.06069383211285219,0.59,0.1009986204915931,0.986,0.05154999999999999,0.05154999999999999,0.13174915313720703
